node,name,RTT_ms,interest_receive_time,interest_sent_time,interest_latency,data_receive_time,data_sent_time,data_latency,parsing,processing,sending_time,functions
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.05,0.00,21.56,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61076.7727060318,0,,0,0,,0.29,8.85,24.28,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61076.8083589077,0,,0,0,,0.15,2.97,21.29,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.03,0.00,21.09,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.08,3.24,23.63,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61076.88361406326,0,,0,0,,0.14,5.89,23.52,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61076.930790901184,0,,0,0,,2.52,1.54,21.07,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61076.981852054596,0,,0,0,,0.73,4.04,21.75,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.01,0.00,21.70,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61077.03757596016,0,,0,0,,0.14,0.39,21.71,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61077.06904101372,0,,0,0,,0.22,1.80,22.49,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61077.15393304825,0,,0,0,,0.29,4.08,25.75,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61077.234801054,0,,0,0,,2.48,8.52,29.96,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.06,0.00,29.62,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61077.30085206032,0,,0,0,,2.17,0.44,21.61,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61077.389265060425,0,,0,0,,0.29,3.11,21.33,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61077.44483590126,0,,0,0,,0.74,8.28,25.21,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61077.48134589195,0,,0,0,,0.63,5.35,21.81,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.02,5.01,24.49,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61077.51296496391,0,,0,0,,0.31,6.20,27.31,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61077.560916900635,0,,0,0,,0.76,2.77,23.68,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.05,0.00,21.24,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61077.62771105766,0,,0,0,,1.78,7.92,23.08,[]
