node,name,RTT_ms,interest_receive_time,interest_sent_time,interest_latency,data_receive_time,data_sent_time,data_latency,parsing_time,processing_time,send_time,functions
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66372.65005302429,0,,0,0,,0.07,0.65,21.17,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66372.69268894196,0,,0,0,,0.05,0.83,20.67,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66372.73481702805,0,,0,0,,0.03,0.82,23.28,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66372.7954750061,0,,0,0,,0.04,0.91,25.16,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66372.85808110237,0,,0,0,,0.06,0.76,22.99,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66372.88896894455,0,,0,0,,0.02,0.24,24.25,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66372.92321610451,0,,0,0,,0.04,0.43,23.59,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.01,0.00,25.14,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66372.96963405609,0,,0,0,,0.07,0.65,25.30,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.01,0.00,22.17,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66373.05438709259,0,,0,0,,0.08,1.00,23.21,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.01,0.00,25.10,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66373.09970998764,0,,0,0,,0.08,1.05,25.22,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66373.12884402275,0,,0,0,,0.07,0.55,25.09,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66373.17573094368,0,,0,0,,0.09,0.79,25.14,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66373.26587200165,0,,0,0,,0.06,0.73,25.15,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66373.33029294014,0,,0,0,,0.14,1.23,24.64,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.01,0.00,25.15,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66373.39319300652,0,,0,0,,0.04,0.54,25.13,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66373.4749751091,0,,0,0,,0.08,1.08,21.01,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.01,0.00,23.81,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66373.52178788185,0,,0,0,,0.03,0.56,24.84,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66373.59182405472,0,,0,0,,0.06,1.19,25.11,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.01,0.00,25.09,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66373.66294193268,0,,0,0,,0.05,0.88,25.48,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66373.67876696587,0,,0,0,,0.04,0.69,25.06,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66373.72027802467,0,,0,0,,0.03,0.82,25.08,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.01,0.00,22.42,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66373.76499795914,0,,0,0,,0.03,0.59,24.90,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66373.79118800163,0,,0,0,,0.02,0.47,22.52,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66373.84289908409,0,,0,0,,0.03,0.52,25.71,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66373.88548707962,0,,0,0,,0.03,0.56,20.40,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66373.95089507103,0,,0,0,,0.11,1.80,27.55,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66374.01028203964,0,,0,0,,5.20,0.00,37.23,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66374.07184505463,0,,0,0,,0.04,12.26,24.60,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.01,0.00,21.11,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.01,0.00,25.11,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66374.16714191437,0,,0,0,,0.06,1.45,24.10,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.01,0.00,25.35,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66374.21647310257,0,,0,0,,0.03,0.55,25.13,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66374.28017807007,0,,0,0,,0.11,1.06,24.09,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66374.35075306892,0,,0,0,,0.15,1.86,25.17,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.00,0.00,25.08,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66374.43579792976,0,,0,0,,0.09,1.08,24.48,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.00,0.00,20.50,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66374.50794005394,0,,0,0,,0.05,1.15,25.12,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.01,0.00,24.19,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66374.54527401924,0,,0,0,,0.11,0.65,25.13,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66374.59802508354,0,,0,0,,0.03,0.66,25.27,[]
